Unnamed: 0,cefr,text_corrected,learner_id
150901,A1,"bello! My name is Svetlana.I am from Russia.I am an accountant. I'm have a daughter .My daughter is 23, her name's Kate. .sometimes I go to eat in restaurants on Sunday with my friends. I like Japanise food.My daughter's like home food.",174677
140530,A1,"bello, I will describe my home. am, basically has 3 bedrooms, 2 bathrooms, 3 living rooms, kitchen outdoor barbecue area and swimming pool.",28372
43396,A1,"Hi! Andrea my name's hated i'm twenty four years old. i'm from corsica , in france. nice to meet you . bye.",120694
175759,A1,The red hat is cheap. I think you should buy those white pants. How about that purple top? The boots are expensive. Why don't you buy those black shoes? The gray shoes is nice too.,50692
102438,A1,Hi! My name is Giovanna My favorite day on the week is Friday. Friday I go to Home e play with my children I love!,88311
59930,A1,"Hi, teacher, My name is jinwenzhe, English name is leopard jin. I am twenty-nine years old,I am from china, I live in shou wich my wife and daughter. There are six people in my family.My mother, father. my mother is fifty years old, my father is fifty-three years old. I also have a grandmother,my grandmother is eighty-three. I am a engineer, My wife is a FI. over.",77603
169782,A1,"Go straight on the Liverpool Rd., then turn left on the Green St., my house on the right, between restaurant and supermarket.",160920
49955,A1,"Hi! My name is Griselda I'm fortyfive years old I'm from Mexico City I'm accountant, but actually I'don't work I like playtennis, and wath T.V. nice to meet you sincerely, Griselda Ayala",102435
116955,A1,"China is beautiful in spring, summer, autumn and winter. Spring is warm and sunny. Summer is hot, especially in July and August. Autumn is windy and cool. And winter is cold and sometimes snowy.",32126
92782,A1,"Hi This is the menu: Startex : soup vegetables main course : chicken with noodles dessert: ice cream, and cake drinks: beer, coke and wine eye See you later Maryann",119651
154842,A1,"My name is Ramazan. you may call me Raman. I'm 23. There are 4 people in my family: mom, dad, brother. I can speak 3 languages. I can speak Kazakh, Russian, English. I can dance, i can drive a car. I don't like cooking and doing my homework. I'm a lazy.",48093
78626,A1,"Hi My Names's Diangellys Marquis; I'm thirty-two years old; I'm a business man; I like music and movies; I'm tall and slim; I have short black hair, brown eyes, big nose and big mouth; I'm strong and happy. See you! Diangellys Marquis",15491
118914,A1,"Taichung City is a central part in Taiwan, it's sunny and windy in spring. We go shopping, go hiking, go mountain climbing, but sometimes it's rainy. In summer the weather is very hot and wet, many people choose stay at house or go swimming. It's cool,windy and cloudy in autumn,there have many typhoons in this reason,we must be careful.It's never snowing in winter.It's also cold and dry.We wear coats and sweaters.",161054
175442,A1,"Hi! Why don''t you buy the purple top, he''s cust $15, this is cheap. I think you should buy beg sweater, this is beautiful. eye bye.",71679
117970,A1,"In Senhor do confirm, Brazil, the weather is pleasant throughout the year. In summer it's warm and sunny, but in winter it's cool and sometimes it rains. In this time of the year usually celebrating the party of So Joo.",141760
33877,A1,"Dear Ms.Ellen, I'm Peter.I'm 35 years old. Now I'm working at aandamp;m International trading Co.,Ltd. Now I'm leaning English at EF education.",159823
17499,A1,"bello, my name's Claudio Cunza and I'm learning to speak english with the courses of the Englishtown. I'm married and have daughter of six years. I live in Brazil and work with telecom expense management.",83671
138053,A1,"Hi Sue, sorry, I am busy. Right now I am studying English, cooking and waiting for my husband for we have dinner.",128821
90788,A1,"Hi friends! This is the menu... Startex cheese Main course chicken Rice vegetables dessert Ice cream and for me, Brazilian mango fruit. It's delicious and it's tasty nice.",45318
89055,A1,"Hi, I'm Corinna and I like to cook something at the party next week. For Peter, Jon and Becky I cook some chicken and vegetables. Some rice for Peter and for Jon some ice cream. See you at the party.",127349
143740,A1,"Holli! Im from Brazil! I can play the keyboard, but I can't play the bass. I don't like cook, but I cook. I like read a book. I like sleep. I don''t like eat late night.",124269
151856,A1,My name is Guillermo. I'm from Brazil. I have a brother and sister.My father is a lawyer and my mother is a housewife. My favorite food is sushi. I like Italian food and Mexican. I don't like fruits and vegetables.,50291
115531,A1,"Hi, Come to know the architecture of Brassia! Here, from November to Marc it's rain a lot , but it's not cold. From April to June it's very cool. From July to October it's very dry. Don't rain. You can wear t-shirt and jeans everyday in the year.",118448
83607,A1,Sales. Orange dress is 40 dollars. pink shirt is 30 dollars. Black jacket is 35 dollars. light blue pant is 33 dollars. shoes are 28 dollars. skirts are 25 dollars.,138105
62837,A1,"Hi Maria: Nice to receive your mail, my name is benches.I am twenty-five years old. I come from Anti province of China. but now I live in Shanghai. There are seven people in my family. my father ,my mother,my sister ,my grandfather,my grandmother ,my brother and I.%% I live with my mother now. others live buying .",19124
114661,A1,"In Catanduva is beautiful. Summer is very hot and sunny. autumn is cool and cloudy. winter it''s cold and sunny. Spring it''s beautiful is flowers, sunny and cool I love summer because go beach and play jet ski.",90815
45405,A1,"Hi! My name's oki,twenty one years old,I come from si chan,china .but I give in dong'guan,china. I like listen to music . Nice to meet you. eye!",41168
87205,A1,"These pants are U$ 10,99 This blue shirt is U$ 5 This grey shirt is U$ 7 This pink jacket is U$ 15 These bags are U$ 50 These light blue shoes are U$ 60 This black pants is U$ 30",66581
168598,A1,"bello! Jane, stay calm and go straight on Liverpool Road, then turn right onto Green Ave.My house is between the restaurant and the supermarket.",52660
14133,A1,"bello my name is Adriano, live in Rua Nestor Augusto, 77, home center, tuinga state of Minos Gervais, I'm 38 years police investigator. I am married have a wife named Norma and a son named Guillermo, we are very happy.",12316
